MasterTrader  Version 0.3.7.6
No,Time,Type,Data,Message
1,11:08:14.2436443,Startup,STATUS,QuantX Initialized,Version 0.3.7.6 | IFace   : 0.0.0.8 | Build   : 161
2,11:08:15.0091979,ProcessModules,ERROR,Module Loading Failed! - 'BracketOrderStrategy',System.Security.Cryptography.CryptographicException: Bad Data. |  |    at System.Security.Cryptography.CryptographicException.ThrowCryptographicException(Int32 hr) |    at System.Security.Cryptography.Utils._DecryptData(SafeKeyHandle hKey, Byte[] data, Int32 ib, Int32 cb, Byte[]& outputBuffer, Int32 outputOffset, PaddingMode PaddingMode, Boolean fDone) |    at System.Security.Cryptography.CryptoAPITransform.TransformFinalBlock(Byte[] inputBuffer, Int32 inputOffset, Int32 inputCount) |    at System.Security.Cryptography.CryptoStream.FlushFinalBlock() |    at ..(Byte[] , Byte[] ) in S:\QuantX\TWS\Source\Common.vb:line 429 |    at ..(String , Boolean , String ) in S:\QuantX\TWS\Source\ProcessModules.vb:line 67
3,11:08:15.0248671,ProcessModules,ERROR,Module Loading Failed! - 'CoverOrderStrategy',System.Security.Cryptography.CryptographicException: Length of the data to decrypt is invalid. |    at System.Security.Cryptography.CryptoAPITransform.TransformFinalBlock(Byte[] inputBuffer, Int32 inputOffset, Int32 inputCount) |    at System.Security.Cryptography.CryptoStream.FlushFinalBlock() |    at ..(Byte[] , Byte[] ) in S:\QuantX\TWS\Source\Common.vb:line 429 |    at ..(String , Boolean , String ) in S:\QuantX\TWS\Source\ProcessModules.vb:line 67
4,11:08:15.0248671,ProcessModules,STATUS,Strategy 'ProgramTrading1' loaded successfully.,Ver : 44 | File: C:\Users\Hp1\Desktop\mt3\MT3\Strategies\ProgramTrading1.qxd
5,11:08:15.0404967,ProcessModules,STATUS,Plugin 'DistPosV2' loaded successfully.,Ver : 60 | File: C:\Users\Hp1\Desktop\mt3\MT3\Plugins\DistPosV2.dll
6,11:08:15.0404967,ProcessModules,STATUS,Plugin 'Master16' loaded successfully.,Ver : 31 | File: C:\Users\Hp1\Desktop\mt3\MT3\Plugins\Master16.dll
7,11:08:15.0561227,Modules,ERROR,Invalid Module File 'Nancy.dll,Path:C:\Users\Hp1\Desktop\mt3\MT3\Plugins\Nancy.dll
8,11:08:15.0561227,Modules,ERROR,Invalid Module File 'Newtonsoft.Json.dll,Path:C:\Users\Hp1\Desktop\mt3\MT3\Plugins\Newtonsoft.Json.dll
9,11:08:15.0561227,Modules,ERROR,Invalid Module File 'RestSharp.dll,Path:C:\Users\Hp1\Desktop\mt3\MT3\Plugins\RestSharp.dll
10,11:08:15.0561227,ProcessModules,STATUS,Plugin 'SmartMarketWatch' loaded successfully.,Ver : 14 | File: C:\Users\Hp1\Desktop\mt3\MT3\Plugins\SmartMarketWatch.dll
11,11:08:15.0717588,Modules,ERROR,Invalid Module File 'websocket-sharp.dll,Path:C:\Users\Hp1\Desktop\mt3\MT3\Plugins\websocket-sharp.dll
12,11:08:15.3685791,Common,ERROR,Error while creating file association.,System.UnauthorizedAccessException: Access to the registry key 'HKEY_CLASSES_ROOT\.qlg' is denied. |    at Microsoft.Win32.RegistryKey.Win32Error(Int32 errorCode, String str) |    at Microsoft.Win32.RegistryKey.CreateSubKeyInternal(String subkey, RegistryKeyPermissionCheck permissionCheck, Object registrySecurityObj, RegistryOptions registryOptions) |    at Microsoft.Win32.RegistryKey.CreateSubKey(String subkey) |    at ..(String , String , String , String ) in S:\QuantX\TWS\Source\Common.vb:line 559
13,11:08:34.6970211,ORMS,STATUS,Connecting to ORMS1...,202.58.232.252:6660
14,11:08:34.7282200,ORMS,STATUS,Connected to ORMS1,202.58.232.252:6660
15,11:08:34.7907918,ORMS,STATUS,Sending credentials to ORMS1,H7AXU01 | 202.58.232.252:6660
16,11:08:35.2101360,Login,STATUS,Successfully logged in 'H7AXU01',
17,11:08:35.2258722,Login,Status,Welcome to 'ITPC-OM1LX2VCGR-Server',
18,11:08:35.2258722,Modules,STATUS,Module 'DDE' loaded successfully.,Ver : 35 | Existing Module
19,11:08:35.2258722,Modules,STATUS,Module 'Confirmation Panel' loaded successfully.,Ver : 34 | Existing Module
20,11:08:35.2258722,Modules,STATUS,Module 'Option Calculator' loaded successfully.,Ver : 2 | Existing Module
21,11:08:35.2258722,Modules,STATUS,Module 'Index Scale' loaded successfully.,Ver : 9 | Existing Module
22,11:08:35.2258722,Modules,STATUS,Module 'Index View' loaded successfully.,Ver : 4 | Existing Module
23,11:08:35.2258722,Modules,STATUS,Module 'Market Summary' loaded successfully.,Ver : 16 | Existing Module
24,11:08:35.2258722,Modules,STATUS,Module 'Watchlist' loaded successfully.,Ver : 31 | Existing Module
25,11:08:35.2258722,Modules,STATUS,Module 'Option Chain' loaded successfully.,Ver : 9 | Existing Module
26,11:08:35.2258722,Modules,STATUS,Module 'Scrip Locator' loaded successfully.,Ver : 5 | Existing Module
27,11:08:35.2258722,Modules,STATUS,Module 'Scrip Analytics' loaded successfully.,Ver : 12 | Existing Module
28,11:08:35.2258722,Modules,STATUS,Module 'Algo' loaded successfully.,Ver : 376 | Existing Module
29,11:08:35.2258722,Modules,STATUS,Module 'MetaStockFeed' loaded successfully.,Ver : 51 | Existing Module
30,11:08:35.2258722,Modules,STATUS,Module 'Stock Alerts' loaded successfully.,Ver : 4 | Existing Module
31,11:08:35.2258722,Modules,STATUS,Module 'Basket Manager' loaded successfully.,Ver : 10 | Existing Module
32,11:08:35.2258722,Modules,STATUS,Module 'Basket Backfill' loaded successfully.,Ver : 10 | Existing Module
